date,close,volume,open,high,low
11/9/17,175.88,29422610,175.11,176.095,173.14
11/10/17,174.67,25129510,175.11,175.38,174.27
11/13/17,173.97,16956290,173.5,174.5,173.4
11/14/17,171.34,24683350,173.04,173.48,171.18
11/15/17,169.08,28998220,169.97,170.3197,168.38
11/16/17,171.1,23598650,171.18,171.87,170.3
11/17/17,170.15,21884010,171.04,171.39,169.64
11/20/17,169.98,16041550,170.29,170.56,169.56
11/21/17,173.14,25047130,170.78,173.7,170.78
11/22/17,174.96,25558680,173.36,175,173.05
11/24/17,174.97,14026670,175.1,175.5,174.6459
11/27/17,174.09,20591090,175.05,175.08,173.34
11/28/17,173.07,26387240,174.3,174.87,171.86
11/29/17,169.48,41459120,172.63,172.92,167.16
11/30/17,171.85,41484540,170.43,172.14,168.44
12/1/17,171.05,39735110,169.95,171.67,168.5
12/4/17,169.8,32512580,172.48,172.62,169.63
12/5/17,169.64,27315530,169.06,171.52,168.4
12/6/17,169.01,28397810,167.5,170.2047,166.46
12/7/17,169.32,25656110,169.03,170.44,168.91
12/8/17,169.37,23285760,170.49,171,168.82
12/11/17,172.67,34260890,169.2,172.89,168.79
12/12/17,171.7,19088170,172.15,172.39,171.461
12/13/17,172.27,23402510,172.5,173.54,172
12/14/17,172.22,20442740,172.4,173.13,171.65
12/15/17,173.97,40122100,173.63,174.17,172.46
12/18/17,176.42,29385650,174.88,177.2,174.86
12/19/17,174.54,27393660,175.03,175.39,174.09
12/20/17,174.35,23451420,174.87,175.42,173.25
12/21/17,175.01,20848660,174.17,176.02,174.1
12/22/17,175.01,16339690,174.68,175.424,174.5
12/26/17,170.57,33113340,170.8,171.47,169.679
12/27/17,170.6,21477380,170.1,170.78,169.71
12/28/17,171.08,16412270,171,171.85,170.48
12/29/17,169.23,25938760,170.52,170.59,169.22
1/2/18,172.26,25400540,170.16,172.3,169.26
1/3/18,172.23,29461040,172.53,174.55,171.96
1/4/18,173.03,22342650,172.54,173.47,172.08
1/5/18,175,23589930,173.44,175.37,173.05
1/8/18,174.35,20523870,174.35,175.61,173.93
1/9/18,174.33,21532200,174.55,175.06,173.41
1/10/18,174.29,23751690,173.16,174.3,173
1/11/18,175.28,18653380,174.59,175.4886,174.49
1/12/18,177.09,25302200,176.18,177.36,175.65
1/16/18,176.19,29512410,177.9,179.39,176.14
1/17/18,179.1,34260230,176.15,179.25,175.07
1/18/18,179.26,31087330,179.37,180.1,178.25
1/19/18,178.46,31306390,178.61,179.58,177.41
1/22/18,177,27052000,177.3,177.78,176.6016
1/23/18,177.04,32395870,177.3,179.44,176.82
1/24/18,174.22,51368540,177.25,177.3,173.2
1/25/18,171.11,41438280,174.505,174.95,170.53
1/26/18,171.51,39075250,172,172,170.06
1/29/18,167.96,50565420,170.16,170.16,167.07
1/30/18,166.97,45635470,165.525,167.37,164.7
1/31/18,167.43,32234520,166.87,168.4417,166.5
2/1/18,167.78,44453230,167.165,168.62,166.76
2/2/18,160.5,85957050,166,166.8,160.1
2/5/18,156.49,72215320,159.1,163.88,156
2/6/18,163.03,68171940,154.83,163.72,154
2/7/18,159.54,51467440,163.085,163.4,159.0685
2/8/18,155.15,54145930,160.29,161,155.03
2/9/18,156.41,70583530,157.07,157.89,150.24
